Player,Span,Mat,Inns,NO,Runs,HS,HS-N/O?,Ave,Hundreds,Fifties,Ducks,Batting Style,Player Role
AG Cremer (ZIM),2005-2017,19,38,5,540,102,Yes,16.36,1,0,7,R,bowler
AU Rashid (ENG),2015-2019,19,33,5,540,61,No,19.28,0,2,3,R,bowler
LPC Silva (SL),2006-2008,11,17,1,537,152,Yes,33.56,1,2,3,R,batsman
PJ Moor (ZIM),2016-2018,8,16,1,533,83,No,35.53,0,5,1,R,wicketkeeper batsman
NC Johnson (ZIM),1998-2000,13,23,1,532,107,No,24.18,1,4,3,L,
HH Pandya (INDIA),2017-2018,11,18,1,532,108,No,31.29,1,4,2,R,allrounder
S Ranatunga (SL),1994-1997,9,17,1,531,118,No,33.18,2,2,1,L,
Aminul Islam (BDESH),2000-2002,13,26,1,530,145,No,21.20,1,2,3,R,
MD Stoneman (ENG),2017-2018,11,20,1,526,60,No,27.68,0,5,1,L,top-order batsman
Shahadat Hossain (BDESH),2005-2015,38,69,17,521,40,No,10.01,0,0,10,R,bowler
Nafees Iqbal (BDESH),2004-2006,11,22,0,518,121,No,23.54,1,2,2,R,
GM Ritchie (AUS),1986-1987,11,18,3,511,92,No,34.06,0,2,0,R,
RO Hinds (WI),2002-2009,15,25,1,505,84,No,21.04,0,2,1,L,
BJ Hodge (AUS),2005-2008,6,11,2,503,203,Yes,55.88,1,2,0,R,top-order batsman
JV Coney (NZ),1986-1987,9,13,2,502,101,Yes,45.63,1,3,0,R,
Mohammed Shami (INDIA),2013-2020,49,64,20,497,51,Yes,11.29,0,1,13,R,bowler
Mohammad Sami (PAK),2001-2012,36,56,14,487,49,No,11.59,0,0,8,R,bowler
SJ Benn (WI),2008-2015,26,39,5,486,42,No,14.29,0,0,7,L,bowler
Imam-ul-Haq (PAK),2018-2019,11,21,2,485,76,No,25.52,0,3,3,L,top-order batsman
Sabbir Rahman (BDESH),2016-2018,11,22,2,481,66,No,24.05,0,4,5,R,middle-order batsman
KTGD Prasad (SL),2008-2015,25,39,2,476,47,No,12.86,0,0,8,R,bowler
MJ Hoggard (ENG),2000-2008,67,92,27,473,38,No,7.27,0,0,19,R,
SB Bangar (INDIA),2001-2002,12,18,2,470,100,Yes,29.37,1,3,2,R,
WKM Benjamin (WI),1987-1995,21,26,1,470,85,No,18.80,0,2,4,R,
PM Nevill (AUS),2015-2016,17,23,2,468,66,No,22.28,0,3,1,R,wicketkeeper
BC Strang (ZIM),1995-2001,26,45,9,465,53,No,12.91,0,1,8,R,
RJ Peterson (SA),2003-2014,15,20,3,464,84,No,27.29,0,3,2,L,bowler
PL Harris (SA),2007-2011,37,48,5,460,46,No,10.69,0,0,9,R,bowler
TE Blain (NZ),1986-1994,11,20,3,456,78,No,26.82,0,2,2,R,
TM Moody (AUS),1989-1992,8,14,0,456,106,No,32.57,2,3,1,R,top-order batsman
DAS Gunaratne (SL),2016-2017,6,10,2,455,116,No,56.87,1,3,1,R,batsman
MD Moxon (ENG),1986-1989,10,17,1,455,99,No,28.43,0,3,2,R,
Saeed Ajmal (PAK),2009-2014,35,53,12,451,50,No,11.00,0,1,9,R,bowler
Abdul Qadir (PAK),1986-1990,31,35,7,450,61,No,16.07,0,1,2,R,
MA Vermeulen (ZIM),2002-2014,9,18,0,449,118,No,24.94,1,2,3,R,
DR Pringle (ENG),1986-1992,20,33,1,448,63,No,14.00,0,1,5,R,bowler
WV Raman (INDIA),1988-1997,11,19,1,448,96,No,24.88,0,4,4,L,
IS Sodhi (NZ),2013-2018,17,25,4,448,63,No,21.33,0,3,4,R,bowler
TR Ambrose (ENG),2008-2009,11,16,1,447,102,No,29.80,1,3,2,R,middle-order batsman
TJ Friend (ZIM),2001-2004,13,19,4,447,81,No,29.80,0,3,4,R,
CT Bancroft (AUS),2017-2019,10,18,1,446,82,Yes,26.23,0,3,1,R,wicketkeeper batsman
MS Kasprowicz (AUS),1996-2006,38,54,12,445,25,No,10.59,0,0,7,R,bowler
CD Cumming (NZ),2005-2008,11,19,2,441,74,No,25.94,0,1,1,R,opening batsman
A Chopra (INDIA),2003-2004,10,19,0,437,60,No,23.00,0,2,1,R,batsman
Saleem Elahi (PAK),1995-2003,13,24,1,436,72,No,18.95,0,1,6,R,opening batsman
PL Taylor (AUS),1987-1991,13,19,3,431,87,No,26.93,0,2,1,L,
TB de Bruyn (SA),2017-2019,12,23,1,428,101,No,19.45,1,0,2,R,middle-order batsman
Imran Nazir (PAK),1999-2002,8,13,0,427,131,No,32.84,2,1,3,R,
DR Tuffey (NZ),2000-2010,26,36,10,427,80,Yes,16.42,0,1,6,R,bowler
NM Hauritz (AUS),2004-2010,17,24,7,426,75,No,25.05,0,2,1,R,bowler
PK Amre (INDIA),1992-1993,11,13,3,425,103,No,42.50,1,3,0,R,
TA Blundell (NZ),2017-2020,6,11,2,425,121,No,47.22,2,1,0,R,wicketkeeper batsman
RDB Croft (ENG),1996-2001,21,34,8,421,37,Yes,16.19,0,0,2,R,bowler
CK Kapugedera (SL),2006-2009,8,15,3,418,96,No,34.83,0,4,1,R,middle-order batsman
JL Pattinson (AUS),2011-2020,21,25,9,417,47,Yes,26.06,0,0,2,L,bowler
Naeem Islam (BDESH),2008-2012,8,15,2,416,108,No,32.00,1,1,0,R,allrounder
Taijul Islam (BDESH),2014-2020,29,48,7,412,39,Yes,10.04,0,0,6,L,bowler
